probe_axis,ZH,FR,FAS,NLD,UKR,BUL,IND,DEU
abaya | black->gold,0.07539966702461243,0.02314135432243347,-0.17512203752994537,0.11464060842990875,-0.021458998322486877,0.1412796676158905,0.16889803111553192,-0.014437586069107056
advent | pilgrim->spectator,-0.006149262189865112,0.016293466091156006,-0.01842111349105835,-0.1595419943332672,-0.04581648111343384,0.032277852296829224,-0.2349812388420105,0.10221180319786072
advent | pilgrimage->tourism,-0.1811707615852356,-0.40563175082206726,-0.17140190303325653,-0.30120280385017395,-0.2749160826206207,-0.3604981005191803,-0.15712833404541016,-0.33847618103027344
advent | prayer->reason,-0.20072709023952484,-0.18475380539894104,-0.28892982006073,-0.07613658905029297,-0.226586252450943,-0.07243335247039795,-0.1735703945159912,-0.1914830207824707
advent | ritual->routine,-0.10526421666145325,-0.009721681475639343,-0.271809458732605,-0.1375788152217865,-0.31543558835983276,-0.05024734139442444,-0.11601273715496063,-0.1825559437274933
advent | sacred->secular,0.3536348044872284,0.3523804843425751,0.6231595277786255,0.24632760882377625,0.21650204062461853,0.06377986073493958,0.23544976115226746,0.24737241864204407
advent | script->image,-0.03447456657886505,0.2089240401983261,0.04247051477432251,0.10159757733345032,-0.063618004322052,0.20493978261947632,-0.024818211793899536,0.2457708865404129
advent | taboo->permissive,-0.1671014279127121,-0.22378277778625488,-0.13579271733760834,-0.06014934182167053,-0.2464703917503357,-0.21752548217773438,0.05927306413650513,-0.20076385140419006
advent | white->red,0.34176045656204224,0.4484160840511322,0.3986428380012512,0.41375839710235596,0.5402860045433044,0.3563821315765381,0.3166312873363495,0.14265847206115723
all saints day | ancestor->novelty,-0.08824124932289124,0.06933455169200897,0.10072539001703262,-0.04263398051261902,-0.32317137718200684,-0.014220759272575378,0.1478109210729599,0.16179537773132324
all saints day | black->gold,0.001260131597518921,0.10476371645927429,0.007420331239700317,0.15232275426387787,0.028796032071113586,0.12617841362953186,0.05426935851573944,0.17659562826156616
all saints day | dragon->eagle,-0.1943332552909851,-0.09830743074417114,-0.19563403725624084,-0.21019147336483002,0.1876734495162964,-0.12211805582046509,-0.01873284950852394,0.15835100412368774
all saints day | fasting->feasting,-0.17273154854774475,0.014663130044937134,0.21809980273246765,-0.043420106172561646,0.04303854703903198,-0.06960958242416382,0.047883033752441406,-0.008238226175308228
all saints day | lotus->rose,-0.2441878765821457,-0.022705189883708954,-0.2229507565498352,0.09599209576845169,-0.05658794939517975,0.0509309321641922,0.059265390038490295,-0.048187486827373505
all saints day | lunar->solar,0.16960546374320984,0.18861237168312073,0.020404152572155,0.1295810490846634,0.030574988573789597,0.24268357455730438,-0.039781734347343445,0.33331090211868286
all saints day | mourning->celebration,-0.14502210915088654,-0.07300619781017303,-0.1392206847667694,-0.03300454095005989,0.013339079916477203,-0.12614966928958893,0.02221865952014923,0.02779088169336319
all saints day | pilgrim->spectator,-0.015498131513595581,-0.011040568351745605,-0.1495979130268097,-0.037595510482788086,-0.020456820726394653,-0.00415530800819397,-0.07465934753417969,0.0791570246219635
all saints day | pilgrimage->tourism,0.04989498853683472,-0.08037657290697098,-0.17896683514118195,-0.28044185042381287,-0.12188936769962311,-0.29410696029663086,0.044102251529693604,-0.07454849034547806
all saints day | prayer->reason,0.09959813952445984,-0.10582074522972107,-0.4155421257019043,-0.026662930846214294,-0.11606685817241669,-0.10285009443759918,-0.20080651342868805,-0.15149429440498352
all saints day | ritual->routine,0.10988594591617584,-0.14687928557395935,-0.16574767231941223,-0.023332756012678146,-0.048090558499097824,-0.07190709561109543,-0.21213483810424805,-0.025156348943710327
all saints day | sacred->secular,0.02188199572265148,0.037849005311727524,0.0754413828253746,-0.060365431010723114,0.03233157843351364,-0.04429846256971359,0.1028316468000412,0.10974887758493423
all saints day | script->image,0.04026211425662041,-0.028732609003782272,-0.22740596532821655,-0.06791692227125168,-0.023421604186296463,-0.05730059742927551,0.08434327691793442,0.2021433562040329
all saints day | taboo->permissive,-0.03433169424533844,-0.10413188487291336,-0.00921650230884552,0.0032529830932617188,-0.2643798589706421,-0.03594854474067688,0.1888960748910904,-0.2186191827058792
all saints day | white->red,-0.033660225570201874,0.22509130835533142,0.1448502540588379,0.180668443441391,0.32573243975639343,0.19584926962852478,0.10802148282527924,0.07656204700469971
altar | ancestor->novelty,0.034271642565727234,0.07986767590045929,0.004978805780410767,0.15559257566928864,-0.3284512460231781,-0.02745826542377472,0.09673090279102325,0.12650619447231293
altar | black->gold,-0.07139337062835693,0.13865838944911957,-0.08666691184043884,0.16263622045516968,0.1590748429298401,0.11454927921295166,0.10535269975662231,0.16336046159267426
altar | dragon->eagle,-0.1972503662109375,0.10247015208005905,-0.008791066706180573,0.22167259454727173,0.21357205510139465,0.07967907190322876,0.07694321870803833,0.2720884680747986
altar | fasting->feasting,-0.28555119037628174,-0.1301800161600113,-0.05442619323730469,-0.1864587366580963,-0.22654449939727783,-0.1175866425037384,0.05016276240348816,-0.02298232913017273
altar | lotus->rose,-0.25891926884651184,-0.1475159227848053,-0.162008136510849,-0.03336694836616516,-0.2861178517341614,0.0451798141002655,-0.22646519541740417,-0.19225627183914185
altar | lunar->solar,0.13945311307907104,0.20108845829963684,-0.0008898675441741943,0.08934154361486435,0.08000357449054718,0.3670898973941803,-0.17029350996017456,0.30597126483917236
altar | mourning->celebration,-0.29046955704689026,-0.15707698464393616,-0.1700824648141861,-0.1320907026529312,-0.32071059942245483,-0.22080248594284058,-0.11431986093521118,0.043244123458862305
altar | pilgrim->spectator,0.0033394694328308105,-0.023151367902755737,-0.03506627678871155,0.07400733232498169,0.09239509701728821,0.23091620206832886,-0.06935983896255493,0.006728410720825195
