probe_axis,ZH,FR,FAS,NLD,UKR,BUL,IND,DEU
altar | pilgrimage->tourism,0.10115498304367065,-0.33929643034935,-0.29495781660079956,-0.427381306886673,-0.19181424379348755,-0.13645195960998535,-0.076029472053051,0.16325369477272034
altar | prayer->reason,0.37506547570228577,0.09048842638731003,-0.08775283396244049,0.15747222304344177,0.43705421686172485,0.4023384153842926,-0.010462313890457153,0.24081991612911224
altar | ritual->routine,-0.051234807819128036,-0.017084941267967224,-0.19501106441020966,-0.5267658233642578,-0.1536213606595993,0.26779353618621826,-0.2231505811214447,0.3820960223674774
altar | sacred->secular,0.11852984130382538,-0.015025543980300426,0.21910357475280762,-0.4402583837509155,0.00023039989173412323,-0.13677887618541718,0.12689009308815002,0.07315828651189804
altar | script->image,-0.003080446273088455,0.10757662355899811,-0.26235342025756836,-0.054310016334056854,-0.06242284178733826,0.0016715079545974731,0.015215426683425903,0.06129512935876846
altar | taboo->permissive,0.4145021438598633,-0.13881869614124298,0.1462908387184143,0.024132490158081055,-0.2755831480026245,0.016467254608869553,0.112042635679245,-0.3462463319301605
altar | white->red,-0.012002676725387573,-0.1850905418395996,-0.03636664152145386,-0.3366762399673462,-0.08260121941566467,0.13738372921943665,-0.17939472198486328,-0.40249624848365784
ancestor day | ancestor->novelty,-0.037255316972732544,0.1559366136789322,0.1338803619146347,0.10670188814401627,0.12060119211673737,0.16311973333358765,-0.09244164824485779,0.25047385692596436
ancestor day | certainty->ambiguity,0.25707972049713135,0.004320643842220306,0.3779512047767639,-0.07404710352420807,0.048396699130535126,0.4798523783683777,0.051066987216472626,0.1864602118730545
ancestor day | clan->individual,0.25354695320129395,0.14111994206905365,0.023237112909555435,0.014519572257995605,0.12510798871517181,0.19446516036987305,-0.15527686476707458,0.2786785960197449
