scope,repr_type,model_a,model_b,normalization,axis_abs_projection_diff_mean,axis_abs_projection_diff_max,axis_signed_projection_diff_mean,axes_used,axes_skipped,neutral_projection_sd_a_mean,neutral_projection_sd_b_mean,cultural_norm_a_mean,cultural_norm_b_mean
final,pre_lmhead_contextual,en_50m,en_fas_a,neutral_z,0.8835782927274703,7.663299560546875,0.00041980884969234467,50,0,2.137966890335083,2.0237588763236998,17.335800170898438,14.548941612243652
final,pre_lmhead_contextual,en_50m,en_nld_a,row_l2,0.13277877748012543,0.6911358833312988,0.008907481769565493,50,0,,,1.0,1.0
final,pre_lmhead_contextual,en_50m,en_nld_a,neutral_z,0.8249887692928314,8.026501655578613,-0.012237482061609626,50,0,2.1379671788215635,1.9934440875053405,17.335798263549805,16.66997528076172
final,pre_lmhead_contextual,en_50m,en_ukr_a,row_l2,0.15078610830008984,0.795476496219635,0.019009942756965756,50,0,,,0.9999998807907104,1.0
final,pre_lmhead_contextual,en_50m,en_ukr_a,neutral_z,0.7861547613143921,7.584001541137695,0.048226990583352745,50,0,2.1379673671722412,2.151496810913086,17.335800170898438,16.712753295898438
final,pre_lmhead_contextual,en_50m,en_bul_a,row_l2,0.1401180724799633,0.6859335899353027,0.008167024827562272,50,0,,,1.0,1.0
final,pre_lmhead_contextual,en_50m,en_bul_a,neutral_z,0.7500624471902847,6.758199691772461,-0.008266961704939603,50,0,2.1379667997360228,2.332572317123413,17.335796356201172,16.1546688079834
final,pre_lmhead_contextual,en_50m,en_ind_a,row_l2,0.129259884506464,0.7978116273880005,0.0063087451737374066,50,0,,,1.0,1.0
final,pre_lmhead_contextual,en_50m,en_ind_a,neutral_z,0.8038084214925766,8.136829376220703,-0.0761863283533603,50,0,2.1379677557945254,2.2962904882431032,17.335800170898438,16.902891159057617
final,pre_lmhead_contextual,en_50m,en_deu_a,row_l2,0.1406640462577343,0.860313892364502,0.023477010671049358,50,0,,,1.0,1.0
final,pre_lmhead_contextual,en_50m,en_deu_a,neutral_z,0.8445079278945923,7.906253814697266,-0.022254164824262263,50,0,2.1379665994644164,2.1332090735435485,17.335800170898438,16.616090774536133
final,pre_lmhead_contextual,en_100m,en_zh_a,row_l2,0.14361369267106056,0.8228516578674316,-0.018460083248792215,50,0,,,0.9999998807907104,1.0
final,pre_lmhead_contextual,en_100m,en_zh_a,neutral_z,0.9181410360336304,7.20400333404541,-0.1107976337056607,50,0,2.577758572101593,1.835584135055542,21.724048614501953,13.69180679321289
final,pre_lmhead_contextual,en_100m,en_fr_a,row_l2,0.13512517504394053,1.0272364616394043,-0.02678901958744973,50,0,,,1.0,1.0
final,pre_lmhead_contextual,en_100m,en_fr_a,neutral_z,0.9404258155822753,7.699868202209473,0.025503128946293144,50,0,2.5777578377723693,1.993050413131714,21.72404670715332,16.79068374633789
