step,language,repr_type,axis_abs_projection_diff_mean,jaccard_at_k_mean,frobenius_cultural_similarity,procrustes_anchor_residual_per_anchor
1500,UKR,pre_lmhead_contextual,2.6745290517807008,0.8405950018675709,0.20990763854980468,0.18342891438802084
2000,UKR,pre_lmhead_contextual,2.9820684003829956,0.8197944340913628,0.1564236602783203,0.20115045166015624
2500,UKR,pre_lmhead_contextual,3.7927557611465454,0.7966255155430585,0.1373916473388672,0.20756180826822918
3000,UKR,pre_lmhead_contextual,3.9305743527412416,0.7952056426186607,0.13807901000976563,0.21623537190755207
500,ZH,embedding_matrix,0.0792371578514576,0.640280731044364,0.11276581573486329,0.025872230529785156
1000,ZH,embedding_matrix,0.13155000701546668,0.6689508475742139,0.13740486145019531,0.03870020039876302
1500,ZH,embedding_matrix,0.16064961776137351,0.6735599871489888,0.14339739990234374,0.04395064798990885
2000,ZH,embedding_matrix,0.16695424437522888,0.6733693991992403,0.1454448699951172,0.04546484375
2500,ZH,embedding_matrix,0.1685959604382515,0.6713289682198691,0.14505702209472657,0.04549974060058594
3000,ZH,embedding_matrix,0.16755909904837607,0.6704815870657592,0.14489886474609376,0.045291549682617185
500,ZH,pre_lmhead_contextual,2.9827248239517212,0.89246301247375,0.173552734375,0.22862027994791667
1000,ZH,pre_lmhead_contextual,2.171462893486023,0.8443634588715463,0.18996315002441405,0.18362644449869792
1500,ZH,pre_lmhead_contextual,2.517168949842453,0.8542718587290199,0.210021728515625,0.19179150390625
2000,ZH,pre_lmhead_contextual,2.8465390634536742,0.8367013070884248,0.19503143310546875,0.21200343831380208
2500,ZH,pre_lmhead_contextual,3.4051841735839843,0.8222247071284707,0.23789459228515625,0.24089937337239584
3000,ZH,pre_lmhead_contextual,3.5814709568023684,0.8216323745444437,0.23265147399902344,0.2522257080078125
