model_a,model_b,layer,head,axis_abs_projection_diff_mean
en_50m,en_zh_a,4,1,691.4895050048829
en_50m,en_zh_a,4,2,563.5162353515625
en_50m,en_zh_a,4,3,678.8176892089843
en_50m,en_zh_a,4,4,595.6186462402344
en_50m,en_zh_a,4,5,1101.2125311279297
en_50m,en_zh_a,4,6,627.9684149169922
en_50m,en_zh_a,4,7,1031.8304376220703
en_50m,en_zh_a,4,8,1045.8535919189453
en_50m,en_zh_a,4,9,653.8028424072265
en_50m,en_zh_a,4,10,556.9442156982421
en_50m,en_zh_a,4,11,1049.459750366211
en_50m,en_zh_a,5,0,720.952993774414
en_50m,en_zh_a,5,1,701.6689266967774
en_50m,en_zh_a,5,2,563.7889270019531
en_50m,en_zh_a,5,3,676.4827398681641
en_50m,en_zh_a,5,4,583.4659918212891
en_50m,en_zh_a,5,5,1117.3095867919922
en_50m,en_zh_a,5,6,617.8518920898438
en_50m,en_zh_a,5,7,993.0971942138672
en_50m,en_zh_a,5,8,1012.5861270141602
en_50m,en_zh_a,5,9,667.2119909667969
en_50m,en_zh_a,5,10,533.0213732910156
en_50m,en_zh_a,5,11,1084.773385620117
en_50m,en_zh_a,6,0,729.3513793945312
en_50m,en_zh_a,6,1,693.9229016113281
en_50m,en_zh_a,6,2,546.3599606323243
en_50m,en_zh_a,6,3,679.1109674072266
en_50m,en_zh_a,6,4,597.1598150634766
en_50m,en_zh_a,6,5,1122.3072802734375
en_50m,en_zh_a,6,6,618.2436676025391
en_50m,en_zh_a,6,7,1000.6277569580078
en_50m,en_zh_a,6,8,1030.3048852539061
en_50m,en_zh_a,6,9,637.6052642822266
en_50m,en_zh_a,6,10,522.1049920654297
en_50m,en_zh_a,6,11,1081.152724609375
en_100m,en_bul_a,4,0,1497.21345703125
en_100m,en_bul_a,4,1,856.3909417724609
en_100m,en_bul_a,4,2,747.6972637939454
en_100m,en_bul_a,4,3,711.763667602539
en_100m,en_bul_a,4,4,866.7588568115234
en_100m,en_bul_a,4,5,827.1560418701172
en_100m,en_bul_a,4,6,628.0168395996094
en_100m,en_bul_a,4,7,632.912113647461
en_100m,en_bul_a,4,8,761.6207141113281
en_100m,en_bul_a,4,9,673.0227227783203
en_100m,en_bul_a,4,10,730.4901971435547
en_100m,en_bul_a,4,11,732.7708587646484
en_100m,en_bul_a,5,0,1609.2486279296875
en_100m,en_bul_a,5,1,896.0364520263672
en_100m,en_bul_a,5,2,805.1057305908203
en_100m,en_bul_a,5,3,755.2503210449219
en_100m,en_bul_a,5,4,926.9351647949219
en_100m,en_bul_a,5,5,876.5407403564453
en_100m,en_bul_a,5,6,654.406029663086
en_100m,en_bul_a,5,7,667.901181640625
en_100m,en_bul_a,5,8,787.7731085205078
en_100m,en_bul_a,5,9,714.1698834228515
en_100m,en_bul_a,5,10,766.1713946533204
en_100m,en_bul_a,5,11,785.1075817871093
en_100m,en_bul_a,6,0,1703.545252685547
en_100m,en_bul_a,6,1,915.3149890136718
en_100m,en_bul_a,6,2,844.1134606933593
en_100m,en_bul_a,6,3,772.7053930664063
en_100m,en_bul_a,6,4,939.0107080078125
en_100m,en_bul_a,6,5,897.9223883056641
en_100m,en_bul_a,6,6,683.0039685058593
en_100m,en_bul_a,6,7,675.2759814453125
en_100m,en_bul_a,6,8,822.3638287353516
en_100m,en_bul_a,6,9,701.0302825927735
en_100m,en_bul_a,6,10,779.4208996582031
en_100m,en_bul_a,6,11,786.6474267578125
en_100m,en_deu_a,4,0,1252.0211486816406
en_100m,en_deu_a,4,1,878.1641790771484
en_100m,en_deu_a,4,2,724.0987115478515
en_100m,en_deu_a,4,3,627.2176892089843
en_100m,en_deu_a,4,4,895.2691125488282
en_100m,en_deu_a,4,5,710.8026818847657
en_100m,en_deu_a,4,6,609.4778546142578
en_100m,en_deu_a,4,7,586.4954895019531
en_100m,en_deu_a,4,8,935.1292102050782
en_100m,en_deu_a,4,9,617.7652313232422
en_100m,en_deu_a,4,10,697.2446398925781
en_100m,en_deu_a,4,11,958.2988146972656
en_100m,en_deu_a,5,0,1337.452855834961
en_100m,en_deu_a,5,1,898.2407379150391
en_100m,en_deu_a,5,2,757.4910083007812
en_100m,en_deu_a,5,3,649.9187713623047
en_100m,en_deu_a,5,4,940.4639074707031
en_100m,en_deu_a,5,5,747.623618774414
en_100m,en_deu_a,5,6,624.8720294189453
en_100m,en_deu_a,5,7,601.8773034667969
en_100m,en_deu_a,5,8,972.1207000732422
en_100m,en_deu_a,5,9,640.8855639648438
en_100m,en_deu_a,5,10,723.5188470458984
en_100m,en_deu_a,5,11,1016.0663201904297
en_100m,en_deu_a,6,0,1398.9069622802735
en_100m,en_deu_a,6,1,918.2958862304688
en_100m,en_deu_a,6,2,798.9102551269531
en_100m,en_deu_a,6,3,691.0506994628906
en_100m,en_deu_a,6,4,978.5403076171875
en_100m,en_deu_a,6,5,808.568363647461
en_100m,en_deu_a,6,6,649.7484649658203
en_100m,en_deu_a,6,7,630.2683123779296
en_100m,en_deu_a,6,8,1037.1698522949218
en_100m,en_deu_a,6,9,680.8789459228516
en_100m,en_deu_a,6,10,766.6050207519531
en_100m,en_deu_a,6,11,1088.4340173339845
en_100m,en_fas_a,4,0,1259.5907360839844
en_100m,en_fas_a,4,1,916.4618414306641
en_100m,en_fas_a,4,2,716.8595330810547
en_100m,en_fas_a,4,3,703.2317053222656
en_100m,en_fas_a,4,4,733.6488275146485
en_100m,en_fas_a,4,5,557.1610223388672
en_100m,en_fas_a,4,6,651.4323599243164
en_100m,en_fas_a,4,7,1452.5583715820312
en_100m,en_fas_a,4,8,743.6526318359375
en_100m,en_fas_a,4,9,1709.5958312988282
en_100m,en_fas_a,4,10,836.1625323486328
en_100m,en_fas_a,4,11,1181.1240698242189
en_100m,en_fas_a,5,0,1328.4544494628906
en_100m,en_fas_a,5,1,940.1595251464844
en_100m,en_fas_a,5,2,735.6759338378906
en_100m,en_fas_a,5,3,692.7076574707031
en_100m,en_fas_a,5,4,767.5968145751954
en_100m,en_fas_a,5,5,555.5411169433594
en_100m,en_fas_a,5,6,660.7896231079102
en_100m,en_fas_a,5,7,1431.2623699951173
en_100m,en_fas_a,5,8,753.5685882568359
en_100m,en_fas_a,5,9,1728.1455395507812
en_100m,en_fas_a,5,10,806.7355737304688
en_100m,en_fas_a,5,11,1165.0524353027345
en_100m,en_fas_a,6,0,1377.1510369873047
en_100m,en_fas_a,6,1,974.9394354248047
en_100m,en_fas_a,6,2,791.0545361328125
en_100m,en_fas_a,6,3,728.0716766357422
en_100m,en_fas_a,6,4,802.6840472412109
en_100m,en_fas_a,6,5,605.6561218261719
en_100m,en_fas_a,6,6,685.0063647460937
en_100m,en_fas_a,6,7,1354.741411743164
en_100m,en_fas_a,6,8,800.3751489257812
en_100m,en_fas_a,6,9,1642.97267578125
en_100m,en_fas_a,6,10,821.7652191162109
en_100m,en_fas_a,6,11,1118.8786389160157
en_100m,en_fr_a,4,0,1184.2038665771483
en_100m,en_fr_a,4,1,714.8130072021485
en_100m,en_fr_a,4,2,645.926226196289
en_100m,en_fr_a,4,3,686.3802288818359
en_100m,en_fr_a,4,4,703.7478271484375
en_100m,en_fr_a,4,5,991.5344863891602
en_100m,en_fr_a,4,6,606.2024145507812
en_100m,en_fr_a,4,7,551.1906826782226
en_100m,en_fr_a,4,8,932.3449560546875
en_100m,en_fr_a,4,9,532.5754788208008
en_100m,en_fr_a,4,10,609.0153393554688
en_100m,en_fr_a,4,11,539.1479626464844
en_100m,en_fr_a,5,0,1262.5529467773438
en_100m,en_fr_a,5,1,736.4517083740234
en_100m,en_fr_a,5,2,683.877724609375
en_100m,en_fr_a,5,3,698.7893609619141
en_100m,en_fr_a,5,4,739.225419921875
en_100m,en_fr_a,5,5,1027.5473864746093
en_100m,en_fr_a,5,6,624.1334918212891
en_100m,en_fr_a,5,7,554.9295727539062
en_100m,en_fr_a,5,8,987.2751971435547
en_100m,en_fr_a,5,9,538.967433166504
en_100m,en_fr_a,5,10,620.588583984375
en_100m,en_fr_a,5,11,547.2841943359375
en_100m,en_fr_a,6,0,1311.9393127441406
en_100m,en_fr_a,6,1,774.267836303711
en_100m,en_fr_a,6,2,718.1283435058593
en_100m,en_fr_a,6,3,719.964560546875
en_100m,en_fr_a,6,4,752.3845025634765
en_100m,en_fr_a,6,5,1071.7907147216797
en_100m,en_fr_a,6,6,636.4314166259766
en_100m,en_fr_a,6,7,578.6298455810547
en_100m,en_fr_a,6,8,1034.8628497314453
en_100m,en_fr_a,6,9,564.4890057373046
en_100m,en_fr_a,6,10,641.9212469482422
en_100m,en_fr_a,6,11,573.60333984375
en_100m,en_ind_a,4,0,1187.0009661865233
en_100m,en_ind_a,4,1,760.03802734375
en_100m,en_ind_a,4,2,628.3180181884766
en_100m,en_ind_a,4,3,564.4306951904297
en_100m,en_ind_a,4,4,705.6379443359375
en_100m,en_ind_a,4,5,916.9311303710938
en_100m,en_ind_a,4,6,604.5995568847657
en_100m,en_ind_a,4,7,546.9001586914062
en_100m,en_ind_a,4,8,711.8151068115235
en_100m,en_ind_a,4,9,598.7059057617188
en_100m,en_ind_a,4,10,654.486000366211
en_100m,en_ind_a,4,11,552.790424194336
en_100m,en_ind_a,5,0,1246.825453491211
en_100m,en_ind_a,5,1,767.3188995361328
en_100m,en_ind_a,5,2,649.8412451171876
en_100m,en_ind_a,5,3,575.8993920898438
en_100m,en_ind_a,5,4,745.2013958740234
en_100m,en_ind_a,5,5,936.5854119873047
en_100m,en_ind_a,5,6,603.6644885253907
en_100m,en_ind_a,5,7,538.26505859375
en_100m,en_ind_a,5,8,716.0933343505859
en_100m,en_ind_a,5,9,598.6169506835937
en_100m,en_ind_a,5,10,663.10236328125
en_100m,en_ind_a,5,11,565.6754162597656
en_100m,en_ind_a,6,0,1294.5061865234375
en_100m,en_ind_a,6,1,797.1651342773438
en_100m,en_ind_a,6,2,692.364404296875
en_100m,en_ind_a,6,3,619.7312750244141
en_100m,en_ind_a,6,4,788.9842999267578
en_100m,en_ind_a,6,5,982.4460302734375
en_100m,en_ind_a,6,6,619.7466680908203
en_100m,en_ind_a,6,7,566.7415521240234
en_100m,en_ind_a,6,8,746.7420178222657
en_100m,en_ind_a,6,9,622.5594641113281
en_100m,en_ind_a,6,10,683.3953076171875
en_100m,en_ind_a,6,11,608.9840850830078
en_100m,en_nld_a,4,0,1215.6739453125
en_100m,en_nld_a,4,1,829.649447631836
en_100m,en_nld_a,4,2,689.0450170898438
en_100m,en_nld_a,4,3,669.9462359619141
en_100m,en_nld_a,4,4,737.4470471191406
en_100m,en_nld_a,4,5,580.7842980957031
en_100m,en_nld_a,4,6,608.2577062988281
en_100m,en_nld_a,4,7,591.69236328125
en_100m,en_nld_a,4,8,1517.509135131836
en_100m,en_nld_a,4,9,629.8948071289062
en_100m,en_nld_a,4,10,688.3520111083984
en_100m,en_nld_a,4,11,609.6297961425781
en_100m,en_nld_a,5,0,1284.1820239257813
en_100m,en_nld_a,5,1,841.4613159179687
en_100m,en_nld_a,5,2,720.7353521728515
en_100m,en_nld_a,5,3,675.6086529541016
en_100m,en_nld_a,5,4,764.719642944336
en_100m,en_nld_a,5,5,596.6105450439453
en_100m,en_nld_a,5,6,625.8948608398438
en_100m,en_nld_a,5,7,595.0127716064453
en_100m,en_nld_a,5,8,1595.739196166992
en_100m,en_nld_a,5,9,629.3424847412109
en_100m,en_nld_a,5,10,689.8055920410156
en_100m,en_nld_a,5,11,615.4186712646484
en_100m,en_nld_a,6,0,1320.5546783447267
en_100m,en_nld_a,6,1,862.3555944824219
en_100m,en_nld_a,6,2,751.6070166015625
en_100m,en_nld_a,6,3,691.0587561035156
en_100m,en_nld_a,6,4,774.0192797851563
en_100m,en_nld_a,6,5,613.3288775634766
en_100m,en_nld_a,6,6,631.2266693115234
en_100m,en_nld_a,6,7,604.8782385253907
en_100m,en_nld_a,6,8,1580.2707214355469
en_100m,en_nld_a,6,9,650.9461419677734
en_100m,en_nld_a,6,10,694.8157470703125
en_100m,en_nld_a,6,11,625.4976806640625
en_100m,en_ukr_a,4,0,1422.7691729736327
en_100m,en_ukr_a,4,1,1478.507587890625
en_100m,en_ukr_a,4,2,692.6151080322265
en_100m,en_ukr_a,4,3,581.5586096191406
en_100m,en_ukr_a,4,4,777.371431274414
en_100m,en_ukr_a,4,5,543.2657025146484
en_100m,en_ukr_a,4,6,626.6396752929687
en_100m,en_ukr_a,4,7,702.4393859863281
en_100m,en_ukr_a,4,8,712.5560797119141
en_100m,en_ukr_a,4,9,563.5379516601563
en_100m,en_ukr_a,4,10,615.663099975586
en_100m,en_ukr_a,4,11,676.2051208496093
en_100m,en_ukr_a,5,0,1498.934501953125
en_100m,en_ukr_a,5,1,1550.2345666503907
en_100m,en_ukr_a,5,2,707.5461450195312
en_100m,en_ukr_a,5,3,606.0037615966797
en_100m,en_ukr_a,5,4,808.0708636474609
en_100m,en_ukr_a,5,5,565.5008032226563
en_100m,en_ukr_a,5,6,648.0763671875
en_100m,en_ukr_a,5,7,701.2105224609375
en_100m,en_ukr_a,5,8,734.2254656982421
en_100m,en_ukr_a,5,9,573.819130859375
en_100m,en_ukr_a,5,10,637.2379565429687
en_100m,en_ukr_a,5,11,691.6426831054688
en_100m,en_ukr_a,6,0,1549.643790283203
en_100m,en_ukr_a,6,1,1528.2129138183593
en_100m,en_ukr_a,6,2,740.4936975097656
en_100m,en_ukr_a,6,3,650.3403723144531
en_100m,en_ukr_a,6,4,818.0468365478515
en_100m,en_ukr_a,6,5,608.980806274414
en_100m,en_ukr_a,6,6,677.1538092041015
en_100m,en_ukr_a,6,7,698.856767578125
en_100m,en_ukr_a,6,8,761.6682952880859
en_100m,en_ukr_a,6,9,588.5293798828125
en_100m,en_ukr_a,6,10,660.5728985595703
