scope,repr_type,model_a,model_b,layer,normalization,axis_abs_projection_diff_mean,axis_abs_projection_diff_max,axis_signed_projection_diff_mean,axes_used,axes_skipped,neutral_projection_sd_a_mean,neutral_projection_sd_b_mean,cultural_norm_a_mean,cultural_norm_b_mean
layerwise,hidden_state,en_50m,en_fas_a,7,row_l2,0.11508760571479798,0.8075105547904968,-0.007372028618119657,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_fas_a,7,neutral_z,0.8171073389053345,8.638910293579102,-0.02266401608940214,50,0,635.1486297607422,1334.2813940429687,4787.1318359375,11295.7001953125
layerwise,hidden_state,en_50m,en_fas_a,8,row_l2,0.12051963299512863,0.8287571668624878,-0.011270887083373964,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_fas_a,8,neutral_z,0.8288798618316651,8.991609573364258,-0.022098941532894968,50,0,604.9812744140625,1343.9757995605469,4746.2060546875,11373.9033203125
layerwise,hidden_state,en_50m,en_fas_a,9,row_l2,0.12343928188085557,0.8407629132270813,-0.01070933861657977,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_fas_a,9,neutral_z,0.8352275907993316,9.66838550567627,-0.029758942727930844,50,0,588.2339990234375,1396.97119140625,4761.77587890625,12103.5498046875
layerwise,hidden_state,en_50m,en_fas_a,10,row_l2,0.12621721252799034,0.8618137836456299,-0.00858353634714149,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_fas_a,10,neutral_z,0.8401915001869201,9.73161506652832,-0.04170302371494472,50,0,597.6625152587891,1489.3468334960937,4917.27587890625,12688.5244140625
layerwise,hidden_state,en_50m,en_fas_a,11,row_l2,0.12815141841769218,0.8226490020751953,-0.005837481995113194,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_fas_a,11,neutral_z,0.8528425949811935,9.491287231445312,-0.02745268791913986,50,0,651.4890777587891,1669.2139123535155,5695.62109375,13856.85546875
layerwise,hidden_state,en_50m,en_fas_a,12,row_l2,0.14987456366419794,0.826580822467804,-0.0038310796348378063,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_fas_a,12,neutral_z,0.8833864361047745,7.676568984985352,0.0012253319285809993,50,0,2.137811985015869,2.0235920763015747,17.336801528930664,14.555462837219238
layerwise,hidden_state,en_50m,en_nld_a,0,row_l2,0.0858827643096447,0.45532160997390747,-0.0010559293613187038,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_nld_a,0,neutral_z,0.7018020826578141,4.991042137145996,0.011895159063860773,50,0,0.16295617640018464,0.2097630274295807,1.3389451503753662,1.586435317993164
layerwise,hidden_state,en_50m,en_nld_a,1,row_l2,0.13999798133969307,0.7486101388931274,-0.008761187646305188,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_nld_a,1,neutral_z,0.7752280700206756,9.932210922241211,-0.027331764874979854,50,0,627.7522650146484,1347.5945971679687,3524.2734375,7576.28955078125
layerwise,hidden_state,en_50m,en_nld_a,2,row_l2,0.1313079757988453,0.7326250076293945,-0.009035920753376558,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_nld_a,2,neutral_z,0.7766833984851838,10.08163070678711,-0.030213783057406546,50,0,638.6853448486328,1359.5484375,3841.0439453125,7973.0556640625
layerwise,hidden_state,en_50m,en_nld_a,3,row_l2,0.11756383776664733,0.6802236437797546,-0.006856838271487504,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_nld_a,3,neutral_z,0.7773772549629211,9.896469116210938,-0.02552546746097505,50,0,647.3259790039062,1361.656494140625,4352.0849609375,9067.1181640625
layerwise,hidden_state,en_50m,en_nld_a,4,row_l2,0.11222066342830658,0.661529541015625,-0.007511258537415415,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_nld_a,4,neutral_z,0.7787391066551208,10.059496879577637,-0.02638942776247859,50,0,648.8249212646484,1364.7147021484375,4686.25341796875,9525.27734375
layerwise,hidden_state,en_50m,en_nld_a,5,row_l2,0.11355299413204194,0.7138883471488953,-0.008753968747332691,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_nld_a,5,neutral_z,0.7783863568305969,10.083080291748047,-0.022313424870371818,50,0,652.6369512939453,1369.2111315917969,4662.6728515625,9557.0341796875
layerwise,hidden_state,en_50m,en_nld_a,6,row_l2,0.11198872476816177,0.7066295146942139,-0.00600830847863108,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_nld_a,6,neutral_z,0.7771247482299805,10.113731384277344,-0.027072226386517285,50,0,649.7171002197266,1362.610184326172,4805.36865234375,9424.7900390625
layerwise,hidden_state,en_50m,en_nld_a,7,row_l2,0.11097112789750099,0.7101461887359619,-0.004686766602098942,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_nld_a,7,neutral_z,0.773108696937561,9.862382888793945,-0.025719968816265464,50,0,635.1485961914062,1349.37177734375,4787.1318359375,9589.5361328125
layerwise,hidden_state,en_50m,en_nld_a,8,row_l2,0.11297606959939004,0.7155411243438721,-0.00829704619012773,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_nld_a,8,neutral_z,0.779131624698639,9.421792030334473,-0.026696208161301912,50,0,604.9813256835937,1314.621629638672,4746.2060546875,9644.6181640625
layerwise,hidden_state,en_50m,en_nld_a,9,row_l2,0.11172654807567596,0.7427308559417725,-0.00665338663617149,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_nld_a,9,neutral_z,0.7730461609363556,8.730016708374023,-0.020556052653118967,50,0,588.2339416503906,1267.0345947265625,4761.77490234375,9973.83203125
layerwise,hidden_state,en_50m,en_nld_a,10,row_l2,0.11533929497003555,0.7775160074234009,-0.007658350957208313,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_nld_a,10,neutral_z,0.7851374071836471,9.228803634643555,-0.03339265041053295,50,0,597.6626251220703,1213.04234375,4917.27587890625,10041.36328125
layerwise,hidden_state,en_50m,en_nld_a,11,row_l2,0.11956003710627555,0.7446153163909912,-0.006474283778807148,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_nld_a,11,neutral_z,0.8149888932704925,9.32828426361084,-0.03697823442518711,50,0,651.4894921875,1271.6092102050782,5695.6220703125,11018.279296875
layerwise,hidden_state,en_50m,en_nld_a,12,row_l2,0.13272346898913384,0.690734326839447,0.008846841567137744,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_nld_a,12,neutral_z,0.824986874461174,8.039230346679688,-0.012602861300110816,50,0,2.137812011241913,1.993892114162445,17.33680534362793,16.672483444213867
layerwise,hidden_state,en_50m,en_ukr_a,0,row_l2,0.09973446980118751,0.6137868165969849,0.008588423280889402,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_ukr_a,0,neutral_z,0.7436214357614517,5.335599899291992,0.02572231344296597,50,0,0.16295624807476997,0.2281969094276428,1.3389452695846558,1.5120580196380615
layerwise,hidden_state,en_50m,en_ukr_a,1,row_l2,0.13373112231492995,0.8571732044219971,-0.0005157251819036901,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_ukr_a,1,neutral_z,0.8204666519165039,6.979753494262695,0.018308799844235182,50,0,627.75216796875,1184.7197619628905,3524.27294921875,8534.568359375
layerwise,hidden_state,en_50m,en_ukr_a,2,row_l2,0.12301436275243759,0.8335928916931152,6.623943569138647e-05,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_ukr_a,2,neutral_z,0.8165881103277206,7.038773536682129,0.016831554137170315,50,0,638.6853387451172,1175.4204809570313,3841.0439453125,9312.00390625
layerwise,hidden_state,en_50m,en_ukr_a,3,row_l2,0.11821605578064918,0.7596129775047302,0.0014138465724681736,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_ukr_a,3,neutral_z,0.8159837424755096,7.012365818023682,0.017328403126448393,50,0,647.3262249755859,1176.3239782714843,4352.08447265625,9716.568359375
layerwise,hidden_state,en_50m,en_ukr_a,4,row_l2,0.11480165615677834,0.7131105661392212,0.002394139299285598,50,0,,,1.0000001192092896,1.0
layerwise,hidden_state,en_50m,en_ukr_a,4,neutral_z,0.8175051295757294,6.990195274353027,0.017071598896291108,50,0,648.8250482177734,1170.9209582519532,4686.25341796875,10007.1015625
layerwise,hidden_state,en_50m,en_ukr_a,5,row_l2,0.11149893537163734,0.7477070093154907,-0.0005313333310186862,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_ukr_a,5,neutral_z,0.815512136220932,6.93133544921875,0.020085799358785152,50,0,652.6368151855469,1157.0990673828126,4662.67333984375,10327.2021484375
layerwise,hidden_state,en_50m,en_ukr_a,6,row_l2,0.10947570204734802,0.7553865909576416,-0.0010776183800771833,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_ukr_a,6,neutral_z,0.8090548485517501,6.932462692260742,0.018650638023391366,50,0,649.7171490478515,1139.9800634765625,4805.36767578125,10606.6142578125
layerwise,hidden_state,en_50m,en_ukr_a,7,row_l2,0.11163137093186379,0.7686800360679626,0.00014093530364334584,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_ukr_a,7,neutral_z,0.8157202035188675,7.201113700866699,0.016525821145623922,50,0,635.1483715820312,1124.7564599609375,4787.130859375,10284.4755859375
layerwise,hidden_state,en_50m,en_ukr_a,8,row_l2,0.11653386920690537,0.7679696083068848,-0.004082661774009466,50,0,,,1.0,1.0
